"","Año.biológico","Desembarques.t.","Porcentaje.descarte","Captura.descartada.t.","Captura.total.t."
"1","1990-91",494567,"0%",0,494567
"2","1991-92",514787,"0%",0,514787
"3","1992-93",250237,"0%",0,250237
"4","1993-94",358949,"0%",0,358949
"5","1994-95",120608,"0%",0,120608
"6","1995-96",361735,"0%",0,361735
"7","1996-97",552515,"0%",0,552515
"8","1997-98",73892,"0%",0,73892
"9","1998-99",212993,"0%",0,212993
"10","1999-00",205616,"0%",0,205616
"11","2000-01",50451,"4%",2018,52469
"12","2001-02",305257,"4%",12210,317467
"13","2002-03",282360,"4%",11294,293654
"14","2003-04",372689,"4%",14908,387597
"15","2004-05",242976,"4%",9719,252695
"16","2005-06",496438,"4%",19858,516296
"17","2006-07",344596,"4%",13784,358380
"18","2007-08",713623,"4%",28545,742168
"19","2008-09",905818,"4%",36233,942051
"20","2009-10",603450,"4%",24138,627588
"21","2010-11",796319,"4%",31853,828172
"22","2011-12",826505,"4%",33060,859565
"23","2012,13",402507,"4%",16100,418607
"24","2013-14",500641,"4%",20026,520667
"25","2014-15",401201,"4%",16048,417249
"26","2015-16",289013,"4%",11561,300574
"27","2016-17",399415,"4%",15977,415391
"28","2017-18",348574,"7%",24400,372974
"29","2018-19",301557,"5%",15078,316634
"30","2019-20",273376,"4%",10935,284311
"31","2020-21",376245,"4%",15050,391294
