"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1991,0,0.3,0,0.3,0,100,494567,0.01
"2",1992,0,0.3,0,0.3,0,100,514787,0.01
"3",1993,0,0.3,0,0.3,0,100,250237,0.01
"4",1994,0,0.3,0,0.3,0,100,358949,0.01
"5",1995,0,0.3,0,0.3,0,100,120608,0.01
"6",1996,0,0.3,0,0.3,0,100,361735,0.01
"7",1997,0,0.3,0,0.3,0,100,552515,0.01
"8",1998,0,0.3,0,0.3,0,100,73892,0.01
"9",1999,0,0.3,0,0.3,0,100,212993,0.01
"10",2000,252601,0.3,0,0.3,0,100,205616,0.01
"11",2001,567819,0.3,0,0.3,0,100,52469,0.01
"12",2002,844713,0.3,0,0.3,498337,100,317467,0.01
"13",2003,477998,0.3,0,0.3,0,100,293654,0.01
"14",2004,351125,0.3,0,0.3,5186,100,387597,0.01
"15",2005,339783,0.3,0,0.3,125008,100,252695,0.01
"16",2006,2178397,0.3,552880,0.3,0,100,516296,0.01
"17",2007,2134043,0.3,188675,0.3,168611,100,358380,0.01
"18",2008,4813144,0.3,0,0.3,109162,100,742168,0.01
"19",2009,1555625,0.3,991730,0.3,213762,100,942051,0.01
"20",2010,2623565,0.3,2467720,0.3,579715,100,627588,0.01
"21",2011,3216857,0.3,1416034,0.3,649985,100,828172,0.01
"22",2012,3843000,0.3,1217169,0.3,157893,100,859565,0.01
"23",2013,1133477,0.3,2296489,0.3,87575,100,418607,0.01
"24",2014,3079434,0.3,1805815,0.3,83554,100,520667,0.01
"25",2015,1972148,0.3,0,0.3,0,100,417249,0.01
"26",2016,2032684,0.3,1482799,0.3,0,100,300574,0.01
"27",2017,2025002,0.3,1565315,0.3,0,100,415391,0.01
"28",2018,2424330,0.3,1577507,0.3,0,100,372974,0.01
"29",2019,2275425,0.3,1421176,0.3,0,100,316634,0.01
"30",2020,1050175,0.3,867257,0.3,0,100,284311,0.01
"31",2021,2363380,0.3,1100020,0.3,0,100,391294,0.01
